0,8.31604,-292.7399
.01,10.45227,-313.1866
.02,12.35962,-333.6334
.03,13.58032,-365.5243
.04,14.49585,-387.3444
.05,15.1825,-372.6196
.06,15.64026,-338.6688
.07,15.41138,-295.5627
.08,15.02991,-269.0887
.09,13.35144,-246.8872
.1,11.90186,-257.7972
.11,10.52856,-276.5656
.12,9.155273,-281.2958
.13,9.231567,-280.6091
.14,9.689331,-267.1051
.15,11.13892,-250.8545
.16,11.97815,-218.2007
.17,12.28333,-170.6696
.18,12.20703,-145.4926
.19,12.51221,-133.4381
.2,13.50403,-124.8932
.21,13.8855,-112.3047
.22,12.89368,-96.43555
.23,10.91003,-102.1576
.24,7.247925,-107.1167
.25,2.975464,-97.50366
.26,-.7629395,-81.71082
.27,-3.128052,-64.08691
.28,-3.738403,-41.50391
.29,-1.754761,-19.98901
.3,1.068115,16.09802
.31,2.822876,52.948
.32,3.890991,72.25037
.33,4.348755,80.03235
.34,4.043579,53.93982
.35,2.059937,8.544922
.36,-1.220703,-12.96997
.37,-6.713867,-9.536743
.38,-13.50403,17.16614
.39,-20.98083,58.13599
.4,-27.38953,114.5935
.41,-29.90723,199.2035
.42,-27.771,275.65
.43,-22.7356,323.41
.44,-17.01355,340.1947
.45,-11.06262,292.0532
.46,-6.027222,186.0809
.47,-1.983643,95.36743
.48,.9918213,53.71094
.49,2.441406,65.23132
.5,2.441406,146.3318
.51,.3814697,286.8652
.52,-5.187988,457.0007
.53,-12.05444,611.3434
.54,-18.46313,660.1715
.55,-24.79553,571.5942
.56,-29.52576,433.8074
.57,-30.59387,282.5928
.58,-27.54211,180.5115
.59,-22.35413,145.7977
.6,-15.25879,204.2389
.61,-7.476807,356.369
.62,7.629395E-02,504.3793
.63,5.111694,576.0956
.64,6.484985,559.1583
.65,1.068115,474.0906
.66,-6.790161,352.478
.67,-14.19067,211.7157
.68,-20.29419,72.78442
.69,-23.42224,3.051758
.7,-23.19336,44.55566
.71,-19.76013,146.0266
.72,-13.8092,246.3531
.73,-7.629395,315.9332
.74,-.8392334,321.8842
.75,4.272461,273.056
.76,7.247925,202.3315
.77,7.781982,130.5389
.78,5.950928,65.68909
.79,3.585815,17.77649
.8,-1.144409,-16.17432
.81,-5.950928,-49.1333
.82,-10.0708,-53.78723
.83,-12.81738,-17.39502
.84,-14.95361,25.71106
.85,-15.56396,54.77905
.86,-12.89368,60.65369
.87,-8.468628,44.25049
.88,-3.509521,12.66479
.89,1.296997,-24.87183
.9,5.187988,-67.06238
.91,7.781982,-105.5908
.92,8.926392,-128.2501
.93,9.384155,-152.0538
.94,6.790161,-174.6368
.95,1.831055,-188.5223
.96,-2.441406,-191.9556
.97,-4.577637,-185.4706
.98,-4.806519,-172.1954
.99,-3.814697,-159.5306
