0,-17.31873,152.2064,8.80127,-18.59131
.01,-60.95886,193.0237,7.226563,-13.69629
.02,-86.66992,207.5195,5.541992,-9.143066
.03,-101.3184,199.8901,3.356934,-5.908203
.04,-110.7025,171.2036,.3295898,-2.331543
.05,-110.7025,124.6643,-3.320313,2.648926
.06,-100.4028,50.27771,-6.640625,9.82666
.07,-79.57458,-19.07349,-9.533691,14.91699
.08,-50.81177,-75.45471,-11.75537,15.68604
.09,-26.09253,-108.7189,-12.98828,16.21094
.1,2.059937,-132.4463,-12.28027,16.17432
.11,22.04895,-145.7214,-8.813477,15.82031
.12,52.71912,-153.3508,-4.589844,17.13867
.13,81.55823,-161.972,-1.208496,19.12842
.14,109.024,-160.5225,1.623535,19.99512
.15,127.4109,-153.1219,4.418945,16.61377
.16,130.8441,-134.3536,7.629395,9.057617
.17,117.4164,-92.39197,11.24268,-.9521484
.18,82.93152,-31.96716,14.03809,-10.82764
.19,21.4386,43.94531,15.68604,-17.21191
.2,-40.96985,112.915,16.08887,-18.89648
.21,-92.16309,159.9884,15.64941,-17.08984
.22,-118.866,184.7076,13.61084,-14.5752
.23,-112.381,203.3234,10.02197,-12.31689
.24,-102.0813,206.2225,5.01709,-10.14404
.25,-87.58545,191.6504,-1.013184,-6.872559
.26,-70.5719,158.9966,-7.165527,-2.91748
.27,-48.90442,122.6044,-12.26807,-.4516602
.28,-20.90454,75.07324,-17.11426,.6225586
.29,9.155273,11.52039,-20.43457,1.416016
.3,37.46033,-54.70276,-20.99609,3.527832
.31,61.7981,-110.4736,-19.16504,5.358887
.32,81.71082,-150.2991,-15.16113,5.749512
.33,96.35925,-181.5033,-9.216309,4.748535
.34,97.88513,-192.7948,-2.539063,2.34375
.35,81.17676,-185.9283,4.370117,-.4272461
.36,51.72729,-156.1737,10.32715,-1.831055
.37,26.09253,-118.866,14.64844,-1.293945
.38,3.585815,-68.74084,17.26074,-.8056641
.39,-17.6239,-12.96997,18.99414,-1.330566
.4,-49.81995,40.43579,20.30029,-4.528809
.41,-85.37292,91.17126,19.66553,-8.752441
