30.51758,-46.38672
6.103516,-64.69727
-7.324219,-78.125
-20.75195,-89.11133
-30.51758,-86.66992
-52.49023,-53.71094
-86.66992,-9.765625
-115.9668,12.20703
-122.0703,8.544922
-103.7598,6.103516
-64.69727,13.42773
-3.662109,19.53125
47.60742,23.19336
81.78711,29.29688
103.7598,37.8418
115.9668,39.0625
106.2012,31.73828
83.00781,28.07617
48.82813,32.95898
15.86914,36.62109
-13.42773,34.17969
-34.17969,28.07617
-39.0625,20.75195
-40.2832,13.42773
-48.82813,1.220703
-54.93164,-23.19336
-67.13867,-43.94531
-64.69727,-57.37305
-48.82813,-62.25586
-31.73828,-57.37305
-7.324219,-36.62109
18.31055,-20.75195
40.2832,-14.64844
61.03516,-9.765625
84.22852,-3.662109
84.22852,1.220703
64.69727,1.220703
23.19336,3.662109
-23.19336,9.765625
-62.25586,15.86914
-87.89063,17.08984
-93.99414,19.53125
-100.0977,23.19336
-85.44922,28.07617
-65.91797,25.63477
-34.17969,23.19336
4.882813,20.75195
45.16602,19.53125
73.24219,19.53125
83.00781,10.98633
74.46289,-6.103516
59.81445,-19.53125
52.49023,-32.95898
56.15234,-41.50391
53.71094,-43.94531
30.51758,-40.2832
-2.441406,-32.95898
-41.50391,-26.85547
-84.22852,-19.53125
-120.8496,-17.08984
-140.3809,-21.97266
-145.2637,-24.41406
-125.7324,-23.19336
-114.7461,-14.64844
-58.59375,-1.220703
12.20703,17.08984
84.22852,28.07617
139.1602,34.17969
153.8086,39.0625
145.2637,39.0625
144.043,35.40039
136.7188,32.95898
126.9531,31.73828
78.125,29.29688
6.103516,18.31055
-69.58008,-1.220703
-130.6152,-17.08984
-172.1191,-34.17969
-200.1953,-39.0625
-217.2852,-39.0625
-213.623,-37.8418
-205.0781,-35.40039
-159.9121,-36.62109
-86.66992,-36.62109
-12.20703,-39.0625
54.93164,-39.0625
113.5254,-26.85547
166.0156,1.220703
187.9883,20.75195
196.5332,31.73828
185.5469,41.50391
168.457,42.72461
139.1602,46.38672
91.55273,47.60742
21.97266,46.38672
-63.47656,43.94531
-145.2637,37.8418
-216.0645,34.17969
-263.6719,29.29688
-300.293,21.97266
-299.0723,3.662109
-230.7129,-12.20703
-129.3945,-25.63477
-21.97266,-40.2832
64.69727,-51.26953
120.8496,-54.93164
156.25,-62.25586
169.6777,-69.58008
166.0156,-69.58008
158.6914,-59.81445
167.2363,-46.38672
